image,resistors,caps,transistors,nets,avg_pins_per_net
img250,0,0,0,3,1.33
img2678,0,0,4,5,1.2
img1464,1,8,0,5,2
img292,6,0,2,7,1.14
img430,0,32,5,22,1.86
img3106,3,6,6,11,1.73
img1463,2,5,0,5,1.8
img2649,0,2,3,5,1.4
img3139,4,31,3,25,1.96
img205,3,6,13,14,1.71
img2612,0,1,4,6,1
img2276,2,1,0,4,1
img3196,2,9,2,15,1.6
img233,6,0,8,15,1.27
img2624,4,2,5,9,1.33
img1431,0,2,0,3,1
img2882,0,1,3,4,1.5
img234,0,14,4,14,1.64
img82,6,2,0,11,1.45
img2623,2,4,4,6,1.83
img1496,2,3,0,7,1.71
img25,0,0,2,1,2
img1465,0,3,3,5,1.6
img2825,4,7,2,8,2
img3769,0,2,4,6,1.83
img3304,0,8,0,6,2.67
img2679,0,0,4,4,1.75
img251,4,0,0,6,1.17
img1834,2,6,2,7,1.71
img1449,0,4,0,4,1.25
img422,0,13,8,14,1.57
img1476,2,2,0,6,1.5
img2451,0,0,2,1,2
img1482,0,4,2,6,1.5
img2664,0,2,4,5,1.4
img1471,0,0,0,4,1
img1478,0,2,3,5,1.4
img2652,0,4,3,5,1.8
img5013,2,1,0,5,1.4
img6034,0,0,6,7,1.14
img3328,4,6,2,13,1.62
img5689,5,0,3,8,1.25
img242,0,14,2,11,1.64
img3541,7,4,0,23,1.26
img1414,2,0,0,3,1.33
img1626,2,5,2,7,1.57
img2057,0,0,2,3,1
img827,2,0,0,3,1
img229,0,2,5,5,2
img440,0,6,0,11,1.27
img2606,0,2,5,5,1.6
img3182,2,7,2,10,1.8
img1621,4,4,0,8,1.5
img2630,0,3,4,5,1.6
img1617,2,6,1,6,2
img1628,6,0,0,9,1.44
img1422,0,0,2,3,1
img1610,0,6,0,3,2
img243,0,24,0,19,1.32
img5688,0,0,1,2,1
img1479,0,5,2,5,2.2
img244,0,17,3,17,1.76
img3318,0,0,2,3,1
img2691,0,5,3,6,3.17
img5818,2,0,1,5,1.6
img2665,0,4,4,4,2.5
img275,0,20,0,10,2.1
img1483,0,4,1,5,1.2
img1477,0,2,2,4,1.5
img3576,8,0,0,10,1.4
img4561,2,0,5,7,1.29
img2609,0,5,4,8,1.25
img1616,2,0,2,4,1.5
img2631,0,7,3,5,2.2
img1412,0,0,0,0,0
img1620,0,2,0,5,1.2
img446,0,19,0,10,2.2
img3184,0,10,1,9,1.89
img2056,0,2,1,4,1.5
img1627,0,2,0,6,1.33
img441,0,12,5,10,1.7
img1618,2,4,2,6,1.83
img157,6,0,0,13,1.92
img150,5,0,0,6,1.5
img3495,0,2,0,7,1.14
img1560,2,3,3,8,1.38
img159,2,0,7,7,1.71
img2571,4,0,3,6,1.33
img2743,0,6,3,6,2
