epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.8312,0.95891,0.79166,1.08184,0.96723,0.96709,0.98559,0.76315,0.83087,0.48726,0.99996,0.00037154,0.00037154,0.00037154
2,64.5392,1.00065,0.79064,1.10655,0.94813,0.95229,0.98392,0.74681,0.83792,0.49988,1.01229,0.00071988,0.00071988,0.00071988
3,96.0304,1.02749,0.81019,1.1236,0.93964,0.94866,0.97857,0.72135,0.88869,0.53769,1.02561,0.00103002,0.00103002,0.00103002
4,127.242,1.03805,0.81103,1.1191,0.91829,0.97366,0.98092,0.72946,0.91435,0.52719,1.04693,0.00121679,0.00121679,0.00121679
5,162.278,1.02839,0.7988,1.12126,0.96823,0.93164,0.9775,0.72865,0.8717,0.5287,1.03738,0.00114606,0.00114606,0.00114606
6,197.543,1.01061,0.78021,1.1229,0.93285,0.95289,0.98012,0.71954,0.94318,0.54122,1.04437,0.00107532,0.00107532,0.00107532
7,232.13,0.9957,0.77901,1.10069,0.95601,0.9503,0.98314,0.7445,0.87886,0.51573,1.01935,0.00100459,0.00100459,0.00100459
8,264.1,1.02593,0.763,1.11929,0.93351,0.98024,0.97422,0.72078,0.88872,0.52033,1.02949,0.000933851,0.000933851,0.000933851
9,297.206,0.98872,0.73923,1.09618,0.94768,0.94714,0.97612,0.73404,0.89848,0.50988,1.03693,0.000863116,0.000863116,0.000863116
10,329.31,0.95979,0.73071,1.09599,0.95529,0.96172,0.98024,0.74731,0.83877,0.49467,1.01639,0.00079238,0.00079238,0.00079238
11,363.419,0.88327,0.55705,1.05354,0.94772,0.93546,0.98309,0.75795,0.8517,0.4928,1.00938,0.000721645,0.000721645,0.000721645
12,396.535,0.88207,0.55195,1.04603,0.94767,0.97778,0.98496,0.7591,0.8131,0.48177,1.00336,0.000650909,0.000650909,0.000650909
13,428.226,0.86892,0.53258,1.05078,0.94894,0.9792,0.9873,0.75492,0.81301,0.47333,0.99665,0.000580174,0.000580174,0.000580174
14,457.491,0.83627,0.51203,1.02665,0.95369,0.98529,0.99029,0.7636,0.80651,0.4609,0.99716,0.000509438,0.000509438,0.000509438
15,488.258,0.82805,0.48616,1.00593,0.96211,0.9885,0.99034,0.77895,0.77378,0.44909,0.97633,0.000438703,0.000438703,0.000438703
16,518.322,0.82456,0.49437,1.00804,0.98126,0.96759,0.99236,0.7861,0.76295,0.43751,0.98135,0.000367967,0.000367967,0.000367967
17,547.075,0.77707,0.47673,0.99732,0.96669,0.98243,0.99223,0.79329,0.73595,0.4299,0.96817,0.000297232,0.000297232,0.000297232
18,575.683,0.79267,0.47605,1.00633,0.97201,0.98257,0.99263,0.79035,0.73748,0.42341,0.9696,0.000226497,0.000226497,0.000226497
19,606.216,0.7828,0.46689,1.00552,0.97456,0.97809,0.99243,0.7978,0.73267,0.42041,0.96699,0.000155761,0.000155761,0.000155761
20,635.147,0.76335,0.45385,0.99317,0.98365,0.98347,0.9929,0.80184,0.71596,0.41453,0.96396,8.50255e-05,8.50255e-05,8.50255e-05
