epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.115,1.31495,1.41742,1.35482,0.91669,0.80701,0.85638,0.60387,1.02431,0.69111,1.08658,0.00037154,0.00037154,0.00037154
2,213.274,1.1563,1.01994,1.17825,0.90507,0.86245,0.92606,0.62517,1.10725,0.72536,1.12569,0.00071988,0.00071988,0.00071988
3,345.906,1.11912,0.99202,1.15792,0.88051,0.84451,0.92529,0.63727,1.05388,0.74194,1.12144,0.00103002,0.00103002,0.00103002
4,494.83,1.13935,0.9774,1.16856,0.89125,0.80374,0.86737,0.61162,1.00092,0.7023,1.10565,0.00121679,0.00121679,0.00121679
5,710.692,1.09109,0.97077,1.16696,0.85626,0.68343,0.71424,0.51373,0.98212,0.66532,1.10304,0.00114606,0.00114606,0.00114606
6,788.118,1.11004,0.94512,1.16773,0.94162,0.76417,0.83818,0.58834,1.00478,0.64179,1.09757,0.00107532,0.00107532,0.00107532
7,854.269,1.06739,0.85505,1.13151,0.90662,0.92724,0.95408,0.69056,0.97421,0.60955,1.07775,0.00100459,0.00100459,0.00100459
8,920.956,1.08006,0.86423,1.1407,0.92274,0.9114,0.96331,0.69317,0.97941,0.61325,1.072,0.000933851,0.000933851,0.000933851
9,980.847,1.0666,0.85378,1.14895,0.95318,0.86884,0.95696,0.68825,0.97052,0.59215,1.09327,0.000863116,0.000863116,0.000863116
10,1047.14,1.04666,0.83523,1.12704,0.91678,0.93178,0.9659,0.70361,0.95461,0.57941,1.05509,0.00079238,0.00079238,0.00079238
11,1447.57,1.00087,0.69622,1.10913,0.93813,0.81049,0.86637,0.63266,0.94362,0.58142,1.06749,0.000721645,0.000721645,0.000721645
12,1657.13,0.98156,0.64479,1.08506,0.92552,0.95375,0.96646,0.70728,0.94499,0.567,1.07064,0.000650909,0.000650909,0.000650909
13,1912.53,0.97217,0.60726,1.09381,0.93904,0.96242,0.972,0.71371,0.9035,0.54613,1.05032,0.000580174,0.000580174,0.000580174
14,2232.3,0.94924,0.59688,1.09527,0.93057,0.95636,0.97456,0.71817,0.90069,0.53443,1.05584,0.000509438,0.000509438,0.000509438
15,2639.17,0.93884,0.57133,1.07815,0.93701,0.95676,0.97498,0.72038,0.89519,0.52815,1.04661,0.000438703,0.000438703,0.000438703
16,2886.07,0.9228,0.56978,1.07095,0.94493,0.96767,0.98184,0.74732,0.84164,0.508,1.02265,0.000367967,0.000367967,0.000367967
17,19324.4,0.89514,0.55762,1.05728,0.96089,0.95158,0.98355,0.74958,0.82748,0.50035,1.01641,0.000297232,0.000297232,0.000297232
18,21090.8,0.89011,0.55275,1.04481,0.94633,0.97174,0.98621,0.7492,0.82404,0.49391,1.01482,0.000226497,0.000226497,0.000226497
19,21520.9,0.87079,0.53317,1.04305,0.96494,0.97056,0.98856,0.76079,0.81466,0.48384,1.00878,0.000155761,0.000155761,0.000155761
20,21783.7,0.85014,0.52751,1.03691,0.96991,0.97585,0.9897,0.76814,0.79799,0.47595,1.00293,8.50255e-05,8.50255e-05,8.50255e-05
